                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.53297,                0.32597,                0.85636,                0.99774,                0.99297,                0.99498,                0.85459,                0.63381,                0.31167,                0.88317,             0.00055188,             0.00055188,             0.00055188
                     65,                0.53282,                0.32275,                0.85222,                0.99593,                0.99352,                0.99495,                0.86159,                0.60834,                0.31215,                0.88296,             0.00053773,             0.00053773,             0.00053773
                     66,                0.52306,                0.32029,                0.85744,                0.99957,                0.99279,                  0.995,                0.86328,                0.62002,                0.30185,                0.88398,             0.00052359,             0.00052359,             0.00052359
                     67,                 0.5356,                0.32493,                0.85802,                0.99776,                0.99615,                  0.995,                0.86108,                0.61688,                0.30613,                0.88161,             0.00050944,             0.00050944,             0.00050944
                     68,                0.53123,                 0.3146,                0.85894,                0.99615,                0.99389,                0.99495,                0.85659,                0.62638,                0.30393,                0.89131,             0.00049529,             0.00049529,             0.00049529
                     69,                0.53554,                0.31467,                0.86347,                0.99627,                0.99492,                0.99498,                0.85625,                0.62916,                0.30927,                0.89094,             0.00048114,             0.00048114,             0.00048114
                     70,                0.52142,                0.31569,                0.86469,                0.99498,                0.99767,                0.99498,                0.85994,                0.62623,                0.30895,                   0.89,               0.000467,               0.000467,               0.000467
                     71,                0.51521,                0.30782,                0.85056,                0.99849,                 0.9936,                  0.995,                   0.86,                0.62933,                 0.2972,                0.88094,             0.00045285,             0.00045285,             0.00045285
                     72,                0.52641,                0.31213,                0.84874,                  0.999,                0.99367,                  0.995,                0.85914,                0.62496,                0.30192,                0.87513,              0.0004387,              0.0004387,              0.0004387
                     73,                0.51089,                0.30466,                0.85468,                0.99841,                0.99357,                  0.995,                0.86287,                0.62059,                 0.3001,                0.87721,             0.00042456,             0.00042456,             0.00042456
                     74,                0.51112,                0.30771,                0.85492,                 0.9979,                 0.9939,                  0.995,                0.86076,                0.63001,                0.30213,                0.87882,             0.00041041,             0.00041041,             0.00041041
                     75,                0.52432,                0.30485,                0.85573,                0.99574,                0.99753,                  0.995,                0.86133,                0.61686,                0.29583,                 0.8704,             0.00039626,             0.00039626,             0.00039626
                     76,                0.50805,                0.30421,                0.85226,                0.99673,                0.99375,                  0.995,                0.86344,                0.61342,                0.29058,                0.87239,             0.00038211,             0.00038211,             0.00038211
                     77,                0.50959,                0.29766,                0.84923,                0.99513,                0.99432,                0.99498,                0.86221,                0.63152,                0.29489,                0.87446,             0.00036797,             0.00036797,             0.00036797
                     78,                0.51068,                0.29767,                0.84794,                0.99761,                0.99365,                  0.995,                0.86494,                0.61673,                0.29286,                0.86476,             0.00035382,             0.00035382,             0.00035382
                     79,                0.50702,                0.30007,                0.84598,                0.99882,                0.99395,                  0.995,                0.86347,                0.62118,                 0.2946,                0.87219,             0.00033967,             0.00033967,             0.00033967
                     80,                 0.4987,                0.29075,                0.85467,                0.99936,                0.99336,                  0.995,                0.86415,                0.61803,                 0.2922,                0.87108,             0.00032553,             0.00032553,             0.00032553
                     81,                0.49395,                0.29166,                0.84375,                0.99709,                0.99314,                  0.995,                0.86226,                0.62216,                 0.2953,                0.87415,             0.00031138,             0.00031138,             0.00031138
                     82,                0.48928,                0.28648,                0.84576,                0.99937,                0.99323,                  0.995,                0.86287,                 0.6305,                 0.2933,                 0.8826,             0.00029723,             0.00029723,             0.00029723
                     83,                0.50043,                0.28993,                0.84981,                0.99944,                0.99319,                  0.995,                0.86287,                0.62692,                0.29249,                0.87857,             0.00028308,             0.00028308,             0.00028308
                     84,                0.48755,                0.28389,                0.83801,                0.99862,                0.99327,                  0.995,                0.86309,                0.61277,                0.28861,                0.87273,             0.00026894,             0.00026894,             0.00026894
                     85,                0.48916,                0.28564,                0.84097,                0.99592,                0.99713,                  0.995,                0.86583,                0.61175,                0.28705,                0.86899,             0.00025479,             0.00025479,             0.00025479
                     86,                0.48143,                0.28467,                 0.8432,                 0.9987,                0.99261,                  0.995,                0.86503,                0.61364,                0.28649,                0.86997,             0.00024064,             0.00024064,             0.00024064
                     87,                0.49156,                0.28123,                0.84651,                0.99943,                0.99485,                  0.995,                0.86864,                0.61352,                0.28172,                0.86813,              0.0002265,              0.0002265,              0.0002265
                     88,                0.47672,                0.27316,                0.83573,                0.99901,                0.99439,                  0.995,                0.86652,                0.62504,                0.27984,                0.87561,             0.00021235,             0.00021235,             0.00021235
